prior_id,prior_name,destination_id,destination_name,year,module_index
25,Kyoto,37,Ehime,2014,6
37,Ehime,37,Ehime,2014,6
19,Nagano,8,Tochigi,2014,1
11,Chiba,20,Gihu,2014,3
21,Shizuoka,27,Hyogo,2014,2
21,Shizuoka,39,Fukuoka,2014,5
11,Chiba,24,Shiga,2014,2
24,Shiga,14,Niigata,2014,1
22,Aichi,23,Mie,2014,3
22,Aichi,10,Saitama,2014,1
21,Shizuoka,33,Hiroshima,2014,2
33,Hiroshima,37,Ehime,2014,6
33,Hiroshima,16,Ishikawa,2014,3
25,Kyoto,29,Wakayama,2014,2
28,Nara,31,Shimane,2014,2
31,Shimane,33,Hiroshima,2014,2
33,Hiroshima,9,Gunma,2014,1
29,Wakayama,28,Nara,2014,2
28,Nara,12,Tokyo,2014,1
11,Chiba,27,Hyogo,2014,2
11,Chiba,2,Iwate,2014,4
2,Iwate,12,Tokyo,2014,4
11,Chiba,32,Okayama,2014,2
11,Chiba,33,Hiroshima,2014,2
11,Chiba,37,Ehime,2014,6
37,Ehime,35,Tokushima,2014,6
35,Tokushima,11,Chiba,2014,1
11,Chiba,3,Miyagi,2014,4
11,Chiba,39,Fukuoka,2014,5
39,Fukuoka,13,Kanagawa,2014,1
39,Fukuoka,43,Oita,2014,5
43,Oita,43,Oita,2014,5
11,Chiba,41,Nagasaki,2014,5
41,Nagasaki,33,Hiroshima,2014,5
33,Hiroshima,11,Chiba,2014,1
39,Fukuoka,20,Gihu,2014,3
20,Gihu,11,Chiba,2014,1
11,Chiba,46,Okinawa,2014,1
46,Okinawa,13,Kanagawa,2014,1
11,Chiba,4,Akita,2014,1
11,Chiba,5,Yamagata,2014,4
11,Chiba,6,Fukushima,2014,1
7,Ibaraki,25,Kyoto,2014,2
8,Tochigi,19,Nagano,2014,1
101,Narita_airport,12,Tokyo,2014,1
3,Miyagi,2,Iwate,2014,4
12,Tokyo,30,Tottori,2014,8
30,Tottori,26,Osaka,2014,2
19,Nagano,25,Kyoto,2014,2
33,Hiroshima,40,Saga,2014,2
8,Tochigi,25,Kyoto,2014,2
0,Hokkaido,16,Ishikawa,2014,3
16,Ishikawa,26,Osaka,2014,2
26,Osaka,7,Ibaraki,2014,1
7,Ibaraki,11,Chiba,2014,1
0,Hokkaido,18,Yamanashi,2014,1
3,Miyagi,3,Miyagi,2014,4
3,Miyagi,22,Aichi,2014,4
0,Hokkaido,46,Okinawa,2014,0
26,Osaka,37,Ehime,2014,6
12,Tokyo,42,Kumamoto,2014,5
46,Okinawa,39,Fukuoka,2014,5
26,Osaka,39,Fukuoka,2014,5
39,Fukuoka,37,Ehime,2014,6
37,Ehime,36,Kagawa,2014,6
9,Gunma,19,Nagano,2014,1
19,Nagano,9,Gunma,2014,1
9,Gunma,18,Yamanashi,2014,1
25,Kyoto,6,Fukushima,2014,2
9,Gunma,41,Nagasaki,2014,5
39,Fukuoka,33,Hiroshima,2014,5
19,Nagano,11,Chiba,2014,1
10,Saitama,1,Aomori,2014,9
10,Saitama,7,Ibaraki,2014,1
13,Kanagawa,19,Nagano,2014,1
18,Yamanashi,8,Tochigi,2014,1
12,Tokyo,16,Ishikawa,2014,3
18,Yamanashi,23,Mie,2014,1
23,Mie,25,Kyoto,2014,2
22,Aichi,20,Gihu,2014,3
46,Okinawa,11,Chiba,2014,1
20,Gihu,16,Ishikawa,2014,3
16,Ishikawa,28,Nara,2014,2
25,Kyoto,45,Kagoshima,2014,5
25,Kyoto,21,Shizuoka,2014,1
21,Shizuoka,41,Nagasaki,2014,1
25,Kyoto,32,Okayama,2014,2
25,Kyoto,46,Okinawa,2014,2
25,Kyoto,19,Nagano,2014,1
